,time_chunks,lon_chunks,lat_chunks,archive_size
0,0001,0100,0050,9210035717
1,0001,0050,0100,9250157114
2,0001,0100,0100,9065369462
3,0001,all,all,8572540146
4,0006,0050,0010,9693168881
5,0006,0100,0010,9509531357
6,0006,0010,0050,9631866745
7,0006,0050,0050,9240112760
8,0006,0100,0050,9074953076
9,0006,0010,0100,9478885867
10,0006,0050,0100,9099872240
11,0006,0100,0100,8960946884
12,0006,all,all,8571335050
13,0012,0050,0010,9611842342
14,0012,0100,0010,9443176167
15,0012,0010,0050,9555770754
16,0012,0050,0050,9179560968
17,0012,0100,0050,9029489861
18,0012,0010,0100,9411818353
19,0012,0050,0100,9048632895
20,0012,0100,0100,9115578116
21,0012,all,all,8571677003
22,0024,0050,0010,9540498501
23,0024,0100,0010,9375829715
24,0024,0010,0050,9487403407
25,0024,0050,0050,9119083949
26,0024,0100,0050,9227433372
27,0024,0010,0100,9341080996
28,0024,0050,0100,9234283616
29,0024,0100,0100,9130800906
30,0024,all,all,8572362374
31,0048,0010,0010,9823850715
32,0048,0050,0010,9464985600
33,0048,0100,0010,9301832116
34,0048,0010,0050,9413126036
35,0048,0050,0050,9318519817
36,0048,0100,0050,9240889739
37,0048,0010,0100,9262476777
38,0048,0050,0100,9241531140
39,0048,0100,0100,9136553904
40,0048,all,all,8573045245
41,0120,0010,0010,9744289164
42,0120,0050,0010,9348939990
43,0120,0100,0010,9462031024
44,0120,0010,0050,9296561765
45,0120,0050,0050,9326601260
46,0120,0100,0050,9240963779
47,0120,0010,0100,9423351824
48,0120,0050,0100,9240257951
49,0120,0100,0100,9136060312
50,0120,all,all,8572981838
51,0720,0010,0010,9696246838
52,0720,0050,0010,9499396903
53,0720,0100,0010,9479093676
54,0720,0010,0050,9471400004
55,0720,0050,0050,9329078840
56,0720,0100,0050,9250934331
57,0720,0010,0100,9435467711
58,0720,0050,0100,9247029678
59,0720,0100,0100,9144258424
60,1440,0010,0010,9684951202
61,1440,0050,0010,9496855660
62,1440,0100,0010,9480913210
63,1440,0010,0050,9469409860
64,1440,0050,0050,9328573421
65,1440,0100,0050,9249795233
66,1440,0010,0100,9435361222
67,1440,0050,0100,9246614536
68,1440,0100,0100,9144352005
69,2160,0010,0010,9697227106
70,2160,0050,0010,9505973844
71,2160,0100,0010,9489167500
72,2160,0010,0050,9478608803
73,2160,0050,0050,9338518378
74,2160,0100,0050,9260009322
75,2160,0010,0100,9445629417
76,2160,0050,0100,9257465670
77,2160,0100,0100,9155632880
78,all,0010,0010,9671389308
79,all,0050,0010,9485544456
80,all,0100,0010,9469101098
81,all,0010,0050,9458797284
82,all,0050,0050,9318342700
83,all,0100,0050,9240233655
84,all,0010,0100,9425468857
85,all,0050,0100,9236457520
86,all,0100,0100,9133800344
