,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
57,120,10,10,1465.9101544189998,1500.7514853477478,3774.78125,8468.0,392.343882853094,"(721, 1152)",10x10,100,120x10x10,12000,830592,566.6049842796796,0.004544687704673293
27,1440,10,10,234.169765978,221.3621199131012,580.09375,8468.0,392.343882853094,"(721, 1152)",10x10,100,1440x10x10,144000,830592,3546.9651538108183,0.000698409989501464
26,2160,10,10,157.381861566,157.8275899887085,2479.7890625,8468.0,392.343882853094,"(721, 1152)",10x10,100,2160x10x10,216000,830592,5277.558619114955,0.0029855682001512173
38,720,10,10,344.920987157,383.2308568954468,3108.0390625,8468.0,392.343882853094,"(721, 1152)",10x10,100,720x10x10,72000,830592,2408.0645450024003,0.003741956414822199
72,5136,10,10,84.82334000300034,59.68645858764648,2079.19140625,8468.0,392.343882853094,"(721, 1152)",10x10,100,5136x10x10,513600,830592,9792.021865333534,0.0025032644261562837
73,48,10,10,3231.15490089,3824.208107233048,6368.5703125,8468.0,392.343882853094,"(721, 1152)",10x10,100,48x10x10,4800,830592,257.0573140183465,0.007667507407367276
59,24,50,10,1634.328455578,1576.2736015319824,2243.4765625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,508.21607931084515,0.0027010572730052783
47,48,10,50,879.691513971,772.2430753707886,1259.48046875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,944.1855318697338,0.0015163647961333603
48,48,50,10,898.041041792,783.9077212810516,1273.80078125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,924.8931411225833,0.0015336058874272807
10,2160,50,10,103.042047332,109.83249282836914,841.84765625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,2160x50x10,1080000,830592,8060.7094046165885,0.0010135513660738365
78,5136,50,10,61.17602368300141,28.948766946792603,1804.51171875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,13577.083798448824,0.0021725609188988095
58,24,10,50,1606.229528257,1552.7566084861755,2187.36328125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,517.1066683734279,0.002633499096126618
77,12,10,50,2172.718563871,3150.8295953273773,4106.09375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,382.2823691072925,0.004943574883938203
84,2160,10,50,63.65587099699769,40.08353471755981,1226.12109375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,13048.160161678954,0.0014762014247067152
80,6,10,50,5350.9117285600005,6232.209573745728,7828.38671875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,155.22438831625485,0.009425068768721586
64,5136,10,50,65.01721736000036,31.82125997543335,1562.546875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,5136x10x50,2568000,830592,12774.95460011787,0.0018812447928706272
79,6,50,10,5385.770236675,6250.567150592804,7930.48046875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,154.21972410631105,0.009547985615982335
