,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
39,2160,10,10,67.70097866,57.58978533744812,2871.66015625,8468.0,392.3438828530941,"(721, 1152)",10x10,100,2160x10x10,216000,830592,12268.53756680982,0.003457365537171078,14422.55766596689
57,120,10,10,246.950415618,237.5324714183808,1539.640625,8468.0,392.3438828530941,"(721, 1152)",10x10,100,120x10x10,12000,830592,3363.395837668146,0.0018536665715537834,3496.751391674052
32,1440,10,10,69.409026762,68.03738522529602,493.8828125,8468.0,392.3438828530941,"(721, 1152)",10x10,100,1440x10x10,144000,830592,11966.627955295462,0.0005946154218918555,12207.8765556556
72,5136,10,10,68.4460647269998,64.34613418579103,1808.8046875,8468.0,392.3438828530941,"(721, 1152)",10x10,100,5136x10x10,513600,830592,12134.98545625455,0.0021777294839102714,12908.188044394003
74,48,10,10,560.8199650869999,623.2428383827211,2460.9765625,8468.0,392.3438828530941,"(721, 1152)",10x10,100,48x10x10,4800,830592,1481.0314391556128,0.0029629186923302896,1332.6940140304507
36,720,10,10,52.93962451,48.38927745819092,1376.76953125,8468.0,392.3438828530941,"(721, 1152)",10x10,100,720x10x10,72000,830592,15689.419932381761,0.0016575762001680729,17164.79442615452
80,6,10,50,925.17342349,1020.8135979175568,1781.77734375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,897.7689792112557,0.00214518962830126,813.6568730024701
7,720,10,50,20.436435645,19.187697649002075,574.75,1740.0,1909.406896551724,"(721, 1152)",10x50,500,720x10x50,360000,830592,40642.70376831654,0.000691976325319772,43287.736506688074
79,6,50,10,928.140620117,1033.4783520698547,1950.51953125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,894.8988784644473,0.002348348564939224,803.6859198225942
71,12,50,10,482.34105892,515.9500906467438,2508.2890625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,12x50x10,6000,830592,1722.0014440814173,0.0030198810757869087,1609.8301270939837
58,24,10,50,269.379042841,268.12643790245056,687.8203125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,3083.357900600508,0.0008281085207899907,3097.7624082791303
68,5136,10,50,46.61762034100002,33.79871296882629,1216.4296875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,5136x10x50,2568000,830592,17817.12566888571,0.0014645333539210588,24574.66356089013
84,2160,10,50,23.688192186000386,17.476721286773678,1028.66796875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,35063.545308910325,0.001238475652004835,47525.61915767285
78,5136,50,10,42.748918196999966,29.110512256622314,1329.19921875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,19429.544302674058,0.0016003034206325127,28532.373208618123
8,720,50,10,20.949975961,20.530408382415768,564.29296875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,720x50x10,360000,830592,39646.44167354708,0.0006793864722390776,40456.672099684074
59,24,50,10,269.19961309700005,261.93086075782776,704.43359375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,3085.413052583827,0.0008481102559981314,3171.0352785345776
48,48,50,10,143.09178621200002,137.45478820800778,480.265625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,5804.609908002843,0.000578220865358684,6042.655994952177
38,1440,50,10,22.880710294999968,17.250223398208618,682.32421875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,1440x50x10,720000,830592,36300.97096161853,0.0008214914407434698,48149.63730187137
27,1440,10,50,25.404145906999982,21.83932662010193,968.90234375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,1440x10x50,720000,830592,32695.13578770364,0.0011665201973411735,38031.94184730424
35,120,50,10,76.60274139799998,75.85788345336914,407.32421875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,120x50x10,60000,830592,10842.849548745862,0.0004904022898727655,10949.3168302089
34,120,10,50,69.94182325099999,71.03650712966919,405.171875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,120x10x50,60000,830592,11875.469660252596,0.00048781095291069505,11692.466783084468
47,48,10,50,142.12581216,136.5035898685455,457.88671875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,5844.0615914648215,0.0005512775451124018,6084.763051285827
