,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,lon x lat,time x lon x lat
22,1440,10,10,10.1235164905,10.548372268676758,350.1005859375,4.0,5136.0,100,144000,5136.0,8831.354487475783,0.0681660019348715,10x10,1440x10x10
53,48,10,10,122.5632839665,144.59560894966123,1380.505859375,107.0,192.0,100,4800,5136.0,692.2889745743539,0.2687900816540109,10x10,48x10x10
3,120,10,10,52.527665378750015,55.24891805648804,1670.912109375,43.0,477.7674418604651,100,12000,5136.0,1724.9883426424833,0.3253333546290887,10x10,120x10x10
35,2160,10,10,7.920613977499999,9.029298722743988,1407.7451171875,3.0,6848.0,100,216000,5136.0,10686.557758364635,0.2740936754648559,10x10,2160x10x10
81,720,10,10,12.797550632250008,12.58038592338562,2908.3330078125,8.0,2568.0,100,72000,5136.0,8633.321741611175,0.566264214916764,10x10,720x10x10
63,5136,10,10,3.26880829874996,1.890633046627045,1632.0703125,1.0,20544.0,100,513600,5136.0,21310.7818341232,0.3177706994742991,10x10,5136x10x10
73,6,10,50,244.74642258225,258.9815666079521,982.6103515625,856.0,24.0,500,3000,5136.0,161.37465282138953,0.191318214868088,10x50,6x10x50
75,6,50,10,261.7527134215,275.08431535959244,978.5791015625,856.0,24.0,500,3000,5136.0,169.71171004467823,0.1905333141671534,50x10,6x50x10
5,120,10,50,18.81659732525,21.69642400741577,313.59765625,43.0,477.7674418604651,500,60000,5136.0,2346.687786654147,0.0610587336935358,10x50,120x10x50
83,720,10,50,6.234683633,6.1085187792778015,413.8037109375,8.0,2568.0,500,360000,5136.0,7962.282420057405,0.0805692583601051,10x50,720x10x50
14,12,10,50,103.72846906675,143.1333817243576,642.8212890625,428.0,48.0,500,6000,5136.0,374.25539501550537,0.1251599083065615,10x50,12x10x50
84,720,50,10,6.57103929475,6.188474178314209,422.7685546875,8.0,2568.0,500,360000,5136.0,7527.473553264728,0.0823147497444509,50x10,720x50x10
45,24,10,50,79.91018234425,71.44365119934082,414.201171875,214.0,96.0,500,12000,5136.0,592.6701246081303,0.0806466456142912,10x50,24x10x50
16,12,50,10,115.842844372,137.81381529569626,1926.28515625,428.0,48.0,500,6000,5136.0,437.81552051558776,0.3750555210767134,50x10,12x50x10
7,120,50,10,21.1328032255,23.488778114318848,314.30859375,43.0,477.7674418604651,500,60000,5136.0,2612.349409658704,0.0611971561039719,50x10,120x50x10
24,1440,10,50,4.7808999645,4.576175630092621,711.05859375,4.0,5136.0,500,720000,5136.0,10007.548756212036,0.1384459878796728,10x50,1440x10x50
66,5136,50,10,2.612174099499992,1.2919119000434875,958.033203125,1.0,20544.0,500,2568000,5136.0,12174.602253039491,0.1865329445336838,50x10,5136x50x10
38,2160,50,10,5.19432201525,5.104491651058197,545.8798828125,3.0,6848.0,500,1080000,5136.0,10389.476283805245,0.1062850239120911,50x10,2160x50x10
37,2160,10,50,2.990824782500283,1.9540339708328247,768.474609375,3.0,6848.0,500,1080000,5136.0,12141.31359989313,0.1496251186477804,10x50,2160x10x50
