,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
0,1440,10,10,0.059406288,0.1059765815734863,193.57421875,4.0,5136.0,"(5136,)",10x10,100,1440x10x10,144000,5136,86455.4944082687,0.03768968433605919,48463.5371677713
29,2160,10,10,0.0490484960000001,0.1121668815612793,340.55078125,3.0,6848.0,"(5136,)",10x10,100,2160x10x10,216000,5136,104712.690884548,0.06630661628699377,45788.9167329136
80,120,10,10,0.2287709739999854,0.2217237949371338,1179.01171875,43.0,477.7674418604651,"(5136,)",10x10,100,120x10x10,12000,5136,22450.40054775624,0.22955835645443926,23163.954962327025
78,5136,10,10,0.0202514140000005,0.0647687911987304,1427.3671875,1.0,20544.0,"(5136,)",10x10,100,5136x10x10,513600,5136,253611.92062933845,0.277914172021028,79297.45028344262
77,720,10,10,0.0601288130000057,0.0810678005218505,2054.19921875,8.0,2568.0,"(5136,)",10x10,100,720x10x10,72000,5136,85416.62048109138,0.3999609070774922,63354.37703920036
74,48,10,10,0.585552373999974,0.6273057460784912,965.671875,107.0,192.0,"(5136,)",10x10,100,48x10x10,4800,5136,8771.205152692675,0.18802022488317757,8187.39511331905
76,12,50,10,2.003193584999991,1.6876864433288574,1648.0390625,428.0,48.0,"(5136,)",50x10,500,12x50x10,6000,5136,2563.905974169752,0.32087987977024923,3043.2193256642845
11,120,10,50,0.3236924089999999,0.3837342262268066,226.92578125,43.0,477.7674418604651,"(5136,)",10x50,500,120x10x50,60000,5136,15866.915186138955,0.04418336862344237,13384.26350576391
10,1440,10,50,0.091735533,0.1575992107391357,234.7890625,4.0,5136.0,"(5136,)",10x50,500,1440x10x50,720000,5136,55987.02958427244,0.04571438132788162,32588.995693013374
14,120,50,10,0.3489547939999999,0.6284785270690918,227.484375,43.0,477.7674418604651,"(5136,)",50x10,500,120x50x10,60000,5136,14718.238832964711,0.04429212908878505,8172.116912174748
7,1440,50,10,0.109588483,0.1758205890655517,215.37890625,4.0,5136.0,"(5136,)",50x10,500,1440x50x10,720000,5136,46866.23867217872,0.04193514529789719,29211.595907491417
5,720,10,50,0.1007268139999999,0.1295506954193115,209.16796875,8.0,2568.0,"(5136,)",10x50,500,720x10x50,360000,5136,50989.401888557746,0.04072585061331776,39644.711928226374
84,2160,10,50,0.0682190160000004,0.4779427051544189,336.3828125,3.0,6848.0,"(5136,)",10x50,500,2160x10x50,1080000,5136,75286.92586243065,0.06549509589174454,10746.057936673824
3,720,50,10,0.104095835,0.1355130672454834,204.53515625,8.0,2568.0,"(5136,)",50x10,500,720x50x10,360000,5136,49339.149832459676,0.039823823257398756,37900.40403038092
1,2160,50,10,0.0776388459999999,0.2043285369873047,200.84375,3.0,6848.0,"(5136,)",50x10,500,2160x50x10,1080000,5136,66152.45157044202,0.039105091510903425,25135.98969447478
17,48,10,50,0.6916273230000001,0.6301312446594238,259.125,107.0,192.0,"(5136,)",10x50,500,48x10x50,24000,5136,7425.964575433639,0.05045268691588785,8150.682962524622
18,48,50,10,0.6421526580000001,0.5830540657043457,258.4140625,107.0,192.0,"(5136,)",50x10,500,48x50x10,24000,5136,7998.098171852462,0.05031426450545171,8808.788587719679
61,5136,50,10,0.0872705709999976,0.2212069034576416,301.1796875,1.0,20544.0,"(5136,)",50x10,500,5136x50x10,2568000,5136,58851.45406004209,0.05864090488707165,23218.081894010513
