,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
72,5136,10,10,10.43929189499977,5.943101406097412,2067.1796875,1.0,20544.0,"(5136,)",10x10,100,5136x10x10,513600,5136,491.9873925989224,0.40248825691199375
59,120,10,10,168.60233632400002,172.93380904197693,2769.60546875,43.0,477.7674418604651,"(5136,)",10x10,100,120x10x10,12000,5136,30.46221133098798,0.5392534012363707
41,720,10,10,41.298959944000046,39.90885663032532,2940.95703125,8.0,2568.0,"(5136,)",10x10,100,720x10x10,72000,5136,124.36148530045884,0.5726162444022586
73,48,10,10,395.589083851,460.6268811225891,2272.10546875,107.0,192.0,"(5136,)",10x10,100,48x10x10,4800,5136,12.983169176464163,0.44238813643886293
23,2160,10,10,25.292872822,28.918598651885983,2574.453125,3.0,6848.0,"(5136,)",10x10,100,2160x10x10,216000,5136,203.06115624527453,0.501256449571651
21,1440,10,10,31.570464793000003,32.79810118675232,454.4140625,4.0,5136.0,"(5136,)",10x10,100,1440x10x10,144000,5136,162.68369926371136,0.08847625827492211
84,2160,10,50,8.467216493000706,5.468002796173096,1025.33984375,3.0,6848.0,"(5136,)",10x50,500,2160x10x50,1080000,5136,606.5747821902978,0.19963782004478192
7,720,10,50,16.798657354,16.316690683364868,560.07421875,8.0,2568.0,"(5136,)",10x50,500,720x10x50,360000,5136,305.7387201708144,0.10904871860397196
78,5136,50,10,7.729628050999963,3.5386929512023926,1514.78515625,1.0,20544.0,"(5136,)",50x10,500,5136x50x10,2568000,5136,664.4562928659378,0.29493480456580995
9,720,50,10,19.581198634,18.290104866027832,576.18359375,8.0,2568.0,"(5136,)",50x10,500,720x50x10,360000,5136,262.29242121481053,0.11218527915693147
79,6,10,50,675.580104212,746.4086918830872,1583.39453125,856.0,24.0,"(5136,)",10x50,500,6x10x50,3000,5136,7.6023553209736034,0.3082933277355919
80,6,50,10,782.981534387,846.0327208042145,1665.15625,856.0,24.0,"(5136,)",50x10,500,6x50x10,3000,5136,6.559541667890034,0.32421266549844235
6,2160,50,10,16.158824163000002,15.8759663105011,778.98046875,3.0,6848.0,"(5136,)",50x10,500,2160x50x10,1080000,5136,317.84490927008545,0.15167065201518692
16,1440,10,50,13.829780499999998,13.355334281921388,980.85546875,4.0,5136.0,"(5136,)",10x50,500,1440x10x50,720000,5136,371.37248852214253,0.1909765320774922
56,24,10,50,230.588526433,201.7096600532532,577.76953125,214.0,96.0,"(5136,)",10x50,500,24x10x50,12000,5136,22.2734412654843,0.11249406761098131
24,1440,50,10,13.216201124000008,9.52333688735962,674.32421875,4.0,5136.0,"(5136,)",50x10,500,1440x50x10,720000,5136,388.6139407089729,0.131293656298676
71,12,50,10,361.164023063,431.0216770172119,2602.9375,428.0,48.0,"(5136,)",50x10,500,12x50x10,6000,5136,14.22068553905796,0.506802472741433
65,5136,10,50,8.101944957000114,4.173942565917969,1400.25390625,1.0,20544.0,"(5136,)",10x50,500,5136x10x50,2568000,5136,633.921857931468,0.2726351063570872
34,120,10,50,53.734989121000005,63.95187187194824,390.45703125,43.0,477.7674418604651,"(5136,)",10x50,500,120x10x50,60000,5136,95.58018125647699,0.0760235652745327
35,120,50,10,65.44778782,74.25510311126709,391.20703125,43.0,477.7674418604651,"(5136,)",50x10,500,120x50x10,60000,5136,78.47476853038117,0.07616959331191589
46,48,10,50,119.285063822,125.43589186668396,432.1015625,107.0,192.0,"(5136,)",10x50,500,48x10x50,24000,5136,43.05652221190124,0.08413192416277258
48,48,50,10,131.783141572,133.08222222328186,439.30859375,107.0,192.0,"(5136,)",50x10,500,48x50x10,24000,5136,38.97311855472754,0.08553516233450156
77,12,10,50,296.534492647,426.43666529655457,951.828125,428.0,48.0,"(5136,)",10x50,500,12x10x50,6000,5136,17.320076171084715,0.18532479069314642
58,24,50,10,217.069631641,206.51372599601743,599.5234375,214.0,96.0,"(5136,)",50x10,500,24x50x10,12000,5136,23.660610474035167,0.11672964125778816
54,48,100,10,59.08606982100002,81.90478181838989,391.8203125,107.0,192.0,"(5136,)",100x10,1000,48x100x10,48000,5136,86.92404175060894,0.07628900165498442
32,120,10,100,35.151745318,32.53849196434021,660.015625,43.0,477.7674418604651,"(5136,)",10x100,1000,120x10x100,120000,5136,146.1093881267406,0.12850771514797507
82,2160,10,100,8.769288503000098,4.5385565757751465,1311.2421875,3.0,6848.0,"(5136,)",10x100,1000,2160x10x100,2160000,5136,585.6803545969439,0.25530416423286606
43,48,10,100,80.388242986,71.87995719909668,592.578125,107.0,192.0,"(5136,)",10x100,1000,48x10x100,48000,5136,63.88993973776065,0.11537736078660436
66,24,100,10,100.58043721500007,121.31001925468443,471.24609375,214.0,96.0,"(5136,)",100x10,1000,24x100x10,24000,5136,51.06360781690897,0.09175352292640188
74,6,10,100,368.011176191,447.1103193759918,1088.4921875,856.0,24.0,"(5136,)",10x100,1000,6x10x100,6000,5136,13.956097891261827,0.2119338371300623
20,720,100,10,14.974607520000006,12.997748374938965,722.6953125,8.0,2568.0,"(5136,)",100x10,1000,720x100x10,720000,5136,342.98060854953195,0.14071170414719625
13,720,10,100,14.481877905000005,13.353002071380615,1702.8125,8.0,2568.0,"(5136,)",10x100,1000,720x10x100,720000,5136,354.6501381721184,0.3315444898753894
60,12,100,10,241.397875012,226.7109909057617,628.73046875,428.0,48.0,"(5136,)",100x10,1000,12x100x10,12000,5136,21.27607792630605,0.12241636852609035
2,1440,10,100,13.506490466,11.776747941970823,1002.140625,4.0,5136.0,"(5136,)",10x100,1000,1440x10x100,1440000,5136,380.26162406354894,0.1951208382009346
50,24,10,100,124.767549721,120.9259934425354,655.0625,214.0,96.0,"(5136,)",10x100,1000,24x10x100,24000,5136,41.16454968847997,0.12754332165109034
17,2160,100,10,15.045266596000005,14.148881435394289,1157.1015625,3.0,6848.0,"(5136,)",100x10,1000,2160x100x10,2160000,5136,341.3698233413476,0.22529236029984423
61,12,10,100,273.933990919,230.1954791545868,637.81640625,428.0,48.0,"(5136,)",10x100,1000,12x10x100,12000,5136,18.749042361517933,0.12418543735397196
5,1440,100,10,15.874472877000002,14.421909093856812,958.64453125,4.0,5136.0,"(5136,)",100x10,1000,1440x100x10,1440000,5136,323.5383020145116,0.18665197259540497
42,120,100,10,34.17608018699997,32.31527328491211,406.0625,43.0,477.7674418604651,"(5136,)",100x10,1000,120x100x10,120000,5136,150.28054627381323,0.07906201323987538
53,5136,100,10,9.116005472999973,4.038290023803711,2121.0625,1.0,20544.0,"(5136,)",100x10,1000,5136x100x10,5136000,5136,563.4046639410146,0.41297945872274144
63,5136,10,100,8.240112242000123,3.765707731246948,2067.8203125,1.0,20544.0,"(5136,)",10x100,1000,5136x10x100,5136000,5136,623.2924806317127,0.40261298919392524
85,6,100,10,322.4032208570002,463.35858631134033,1034.3203125,856.0,24.0,"(5136,)",100x10,1000,6x100x10,6000,5136,15.930361943493235,0.20138635367990654
81,6,50,50,138.03561070999967,178.21795058250427,578.13671875,856.0,24.0,"(5136,)",50x50,2500,6x50x50,15000,5136,37.2077898853961,0.11256556050428349
62,24,50,50,45.61406100299996,68.21098113059998,416.64453125,214.0,96.0,"(5136,)",50x50,2500,24x50x50,60000,5136,112.5968591058405,0.08112237757982867
