,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
82,5136,10,10,0.0788234020000118,0.0759851932525634,1574.109375,1.0,20544.0,"(5136,)",10x10,100,5136x10x10,513600,5136,65158.31427828034,0.3064854702102804,67592.11604461813
4,1440,10,10,0.1797555159999999,0.1794061660766601,226.4609375,4.0,5136.0,"(5136,)",10x10,100,1440x10x10,144000,5136,28572.141285500264,0.044092861662772584,28627.778589312205
24,2160,10,10,0.153225613,0.1320028305053711,418.12890625,3.0,6848.0,"(5136,)",10x10,100,2160x10x10,216000,5136,33519.20021360919,0.0814113914038162,38908.25659068742
79,48,10,10,2.417669588000024,2.0481505393981934,980.6015625,107.0,192.0,"(5136,)",10x10,100,48x10x10,4800,5136,2124.359765905261,0.19092709550233644,2507.628175372845
77,720,10,10,0.1864051580000136,0.2093672752380371,2054.625,8.0,2568.0,"(5136,)",10x10,100,720x10x10,72000,5136,27552.885634203456,0.40004380841121495,24531.05431190571
75,120,10,10,0.9232689240000128,0.8491897583007812,1140.0546875,43.0,477.7674418604651,"(5136,)",10x10,100,120x10x10,12000,5136,5562.842923109073,0.22197326470015577,6048.118161807645
61,5136,50,10,0.1617058679999985,0.1412322521209716,370.98046875,1.0,20544.0,"(5136,)",50x10,500,5136x50x10,2568000,5136,31761.37058922344,0.07223139967873832,36365.63124123229
5,2160,50,10,0.16342602,0.246692419052124,247.375,3.0,6848.0,"(5136,)",50x10,500,2160x50x10,1080000,5136,31427.064062381254,0.04816491433021807,20819.44803871256
9,1440,10,50,0.1580438380000002,0.1827354431152343,280.76171875,4.0,5136.0,"(5136,)",10x50,500,1440x10x50,720000,5136,32497.312549445895,0.05466544368185358,28106.205957873215
10,1440,50,10,0.1830938489999998,0.3125216960906982,294.6953125,4.0,5136.0,"(5136,)",50x10,500,1440x50x10,720000,5136,28051.188109547064,0.057378370813862926,16434.059024527567
84,2160,10,50,0.1393250739999985,0.2194328308105468,433.80078125,3.0,6848.0,"(5136,)",10x50,500,2160x10x50,1080000,5136,36863.429191504,0.08446276893496885,23405.795664342968
1,720,10,50,0.197988328,0.3145530223846435,231.96484375,8.0,2568.0,"(5136,)",10x50,500,720x10x50,360000,5136,25940.923143711785,0.04516449449961059,16327.930855865588
16,120,50,10,0.6498295610000001,0.7979719638824463,244.52734375,43.0,477.7674418604651,"(5136,)",50x10,500,120x50x10,60000,5136,7903.610897750463,0.047610464125778816,6436.316352533675
37,24,50,10,2.542220448,2.7768797874450684,324.6640625,214.0,96.0,"(5136,)",50x10,500,24x50x10,12000,5136,2020.2811302381592,0.0632134078076324,1849.5579186470632
81,12,50,10,3.8571822350000105,3.386709928512573,1789.984375,428.0,48.0,"(5136,)",50x10,500,12x50x10,6000,5136,1331.5419617450318,0.348517206970405,1516.5160608412978
18,120,10,50,0.7046622990000001,0.8083014488220215,244.83984375,43.0,477.7674418604651,"(5136,)",10x50,500,120x10x50,60000,5136,7288.597683299641,0.04767130914135514,6354.065067537553
60,12,10,50,4.414040696999997,4.602750301361084,485.35546875,428.0,48.0,"(5136,)",10x50,500,12x10x50,6000,5136,1163.5597296351805,0.0945006753796729,1115.854579050536
40,24,10,50,2.7076520960000003,2.690662384033203,323.66796875,214.0,96.0,"(5136,)",10x50,500,24x10x50,12000,5136,1896.8463517109103,0.06301946432048286,1908.8236526729625
30,48,50,10,1.469984925,1.4457826614379885,272.68359375,107.0,192.0,"(5136,)",50x10,500,48x50x10,24000,5136,3493.9133814586567,0.05309260002920561,3552.4011575098625
0,720,50,10,0.2111351339999999,0.2933816909790039,237.2890625,8.0,2568.0,"(5136,)",50x10,500,720x50x10,360000,5136,24325.652972564967,0.04620114145249221,17506.204912996982
57,5136,10,50,0.0997077150000009,0.1356794834136963,400.73046875,1.0,20544.0,"(5136,)",10x50,500,5136x10x50,2568000,5136,51510.55763337825,0.07802384516160436,37853.91770942976
58,6,50,10,10.335006879,9.786641359329224,671.79296875,856.0,24.0,"(5136,)",50x10,500,6x50x10,3000,5136,496.9517737270197,0.1308008116725078,524.7969973993224
59,6,10,50,10.324028478,10.031780242919922,668.90234375,856.0,24.0,"(5136,)",10x50,500,6x10x50,3000,5136,497.48022401764626,0.1302379952784268,511.97293756756767
28,48,10,50,1.4096397370000002,1.4842839241027832,272.5,107.0,192.0,"(5136,)",10x50,500,48x10x50,24000,5136,3643.4841223548733,0.05305685358255452,3460.2544139960273
26,120,10,100,0.6497641820000002,0.6193335056304932,381.5,43.0,477.7674418604651,"(5136,)",10x100,1000,120x10x100,120000,5136,7904.406155770523,0.07427959501557632,8292.78563699126
2,1440,10,100,0.2468276459999999,0.2956740856170654,265.0234375,4.0,5136.0,"(5136,)",10x100,1000,1440x10x100,1440000,5136,20808.041899812157,0.05160113658489097,17370.47732567188
11,720,100,10,0.3373095189999997,0.3467013835906982,307.86328125,8.0,2568.0,"(5136,)",100x10,1000,720x100x10,720000,5136,15226.371361313419,0.05994222765771028,14813.901077658682
19,720,10,100,0.3077001509999997,0.2475676536560058,444.640625,8.0,2568.0,"(5136,)",10x100,1000,720x10x100,720000,5136,16691.57451924684,0.08657333041277258,20745.844314283684
31,120,100,10,0.6443541460000004,0.5733308792114258,297.1875,43.0,477.7674418604651,"(5136,)",100x10,1000,120x100x10,120000,5136,7970.772023246975,0.05786360981308411,8958.177879873116
43,24,10,100,2.132081229,2.096102476119995,401.1953125,214.0,96.0,"(5136,)",10x100,1000,24x10x100,24000,5136,2408.9138491261488,0.07811435212227415,2450.261882952893
15,2160,100,10,0.2886096589999999,0.3854634761810303,308.1640625,3.0,6848.0,"(5136,)",100x10,1000,2160x100x10,2160000,5136,17795.662202698495,0.060000790985202494,13324.219588545175
3,1440,100,10,0.2498086339999999,0.3576469421386719,271.82421875,4.0,5136.0,"(5136,)",100x10,1000,1440x100x10,1440000,5136,20559.737739088723,0.052925276236370715,14360.53100101328
36,48,10,100,1.4453886250000003,1.8028652667999268,430.84375,107.0,192.0,"(5136,)",10x100,1000,48x10x100,48000,5136,3553.3695998195635,0.08388702297507789,2848.798573348947
68,6,100,10,8.790363343000003,8.807624578475954,477.66796875,856.0,24.0,"(5136,)",100x10,1000,6x100x10,6000,5136,584.2761896855983,0.09300388799649532,583.1311217046355
50,12,100,10,5.067415282000001,5.22781229019165,327.44140625,428.0,48.0,"(5136,)",100x10,1000,12x100x10,12000,5136,1013.5344577429088,0.06375416788356698,982.4377224936122
41,48,100,10,1.557912879,1.3532674312591553,264.23046875,107.0,192.0,"(5136,)",100x10,1000,48x100x10,48000,5136,3296.71836546901,0.051446742357866046,3795.2587059759358
52,24,100,10,2.4207655589999995,2.314756155014038,281.3125,214.0,96.0,"(5136,)",100x10,1000,24x100x10,24000,5136,2121.6428748770054,0.05477268302180685,2218.808226894574
67,2160,10,100,0.2154111310000104,0.1759734153747558,452.47265625,3.0,6848.0,"(5136,)",10x100,1000,2160x10x100,2160000,5136,23842.77904376145,0.0880982586156542,29186.226732386207
45,5136,10,100,0.1936134550000012,0.2003195285797119,445.171875,1.0,20544.0,"(5136,)",10x100,1000,5136x10x100,5136000,5136,26527.08201503851,0.08667676693925233,25639.03797305645
54,5136,100,10,0.1945803729999973,0.2845220565795898,431.75390625,1.0,20544.0,"(5136,)",100x10,1000,5136x100x10,5136000,5136,26395.262383426878,0.08406423408294393,18051.324602889967
64,6,10,100,9.009660622999997,9.087721824645996,521.796875,856.0,24.0,"(5136,)",10x100,1000,6x10x100,6000,5136,570.0547684214366,0.10159596475856698,565.1581440434405
46,12,10,100,5.337599182,4.384277582168578,333.83984375,428.0,48.0,"(5136,)",10x100,1000,12x10x100,12000,5136,962.2303632914488,0.06499996957749221,1171.4586733487802
44,24,50,50,1.4881577480000026,1.2911419868469238,269.17578125,214.0,96.0,"(5136,)",50x50,2500,24x50x50,60000,5136,3451.2470246534585,0.05240961472936137,3977.873891734045
34,48,50,50,0.8133316329999989,0.8129041194915771,278.890625,107.0,192.0,"(5136,)",50x50,2500,48x50x50,120000,5136,6314.767299847548,0.05430113415109034,6318.088292149707
29,120,50,50,0.5026006870000002,0.4790849685668945,330.62109375,43.0,477.7674418604651,"(5136,)",50x50,2500,120x50x50,300000,5136,10218.847949963105,0.06437326591705607,10720.436534177887
65,6,50,50,4.648202182,4.199624300003052,302.296875,856.0,24.0,"(5136,)",50x50,2500,6x50x50,15000,5136,1104.943330539489,0.05885842581775701,1222.9665401250936
14,720,50,50,0.3246664540000001,0.3545262813568115,391.62109375,8.0,2568.0,"(5136,)",50x50,2500,720x50x50,1800000,5136,15819.31221018602,0.07625021295755452,14486.937273998295
80,5136,50,50,0.1791289280000114,0.3991773128509521,647.515625,1.0,20544.0,"(5136,)",50x50,2500,5136x50x50,12840000,5136,28672.08583975712,0.12607391452492211,12866.462683759082
7,1440,50,50,0.342467367,0.3554506301879883,295.54296875,4.0,5136.0,"(5136,)",50x50,2500,1440x50x50,3600000,5136,14997.04933930245,0.05754341291861371,14449.2640153253
86,2160,50,50,0.1852996119999943,0.231982946395874,612.609375,3.0,6848.0,"(5136,)",50x50,2500,2160x50x50,5400000,5136,27717.27336374648,0.11927752628504673,22139.558445108825
38,12,50,50,3.008424967,2.9978618621826167,264.86328125,428.0,48.0,"(5136,)",50x50,2500,12x50x50,30000,5136,1707.2056163400403,0.0515699535144081,1713.2210342276062
74,1,100,50,27.574957926,28.476456880569447,503.65234375,5136.0,4.0,"(5136,)",100x50,5000,1x100x50,5000,5136,186.25595055422897,0.09806315104166667,180.35951668918773
56,12,50,100,2.313683995999998,2.8450167179107666,276.578125,428.0,48.0,"(5136,)",50x100,5000,12x50x100,60000,5136,2219.8364205653625,0.05385088103582555,1805.2617995762125
33,24,50,100,1.7701739319999998,2.1011514663696294,334.828125,214.0,96.0,"(5136,)",50x100,5000,24x50x100,120000,5136,2901.409803384225,0.06519239193925233,2444.37399312006
32,24,100,50,1.766779985,1.955236434936524,328.14453125,214.0,96.0,"(5136,)",100x50,5000,24x100x50,120000,5136,2906.9833502783313,0.0638910691686137,2626.7922938776137
6,720,50,100,0.3903951329999999,0.2808163166046142,386.04296875,8.0,2568.0,"(5136,)",50x100,5000,720x50x100,3600000,5136,13155.901715608738,0.07516412942951714,18289.535530200057
47,5136,50,100,0.4882591199999986,0.7894237041473389,552.03515625,1.0,20544.0,"(5136,)",50x100,5000,5136x50x100,25680000,5136,10519.004744857637,0.10748348057827103,6506.011883121021
48,6,100,50,5.515506793999999,4.836084127426148,271.0703125,856.0,24.0,"(5136,)",100x50,5000,6x100x50,30000,5136,931.1927610327953,0.05277848763629284,1062.0162645378696
49,6,50,100,5.4154117180000005,4.797746658325195,279.5546875,856.0,24.0,"(5136,)",50x100,5000,6x50x100,30000,5136,948.4043443878369,0.05443042980919003,1070.5025433320573
69,2160,100,50,0.5304248359999946,0.49969482421875,366.16015625,3.0,6848.0,"(5136,)",100x50,5000,2160x100x50,10800000,5136,9682.804520865333,0.07129286531347352,10278.273360205203
83,1,50,100,19.675389910000007,20.39866757392884,533.515625,5136.0,4.0,"(5136,)",50x100,5000,1x50x100,5000,5136,261.0367582799277,0.10387765284267912,251.78115096910676
22,48,100,50,1.059417626,1.1424322128295898,336.88671875,107.0,192.0,"(5136,)",100x50,5000,48x100x50,240000,5136,4847.946526424887,0.06559320847936137,4495.671552607128
55,5136,100,50,0.4292754740000006,0.7902746200561523,421.53125,1.0,20544.0,"(5136,)",100x50,5000,5136x100x50,25680000,5136,11964.345300565652,0.08207384151090343,6499.006635990747
23,48,50,100,1.163948654,1.260453701019287,338.828125,107.0,192.0,"(5136,)",50x100,5000,48x50x100,240000,5136,4412.565779727256,0.06597120813862928,4074.723249133774
21,1440,100,50,0.5825014459999998,0.3828966617584228,467.5,4.0,5136.0,"(5136,)",100x50,5000,1440x100x50,7200000,5136,8817.145494262004,0.09102414330218069,13413.540813893032
20,1440,50,100,0.6816927660000003,0.4466140270233154,450.6953125,4.0,5136.0,"(5136,)",50x100,5000,1440x50x100,7200000,5136,7534.185862256895,0.08775220258956386,11499.86272090795
12,120,100,50,0.68577996,0.6345791816711426,331.37109375,43.0,477.7674418604651,"(5136,)",100x50,5000,120x100x50,600000,5136,7489.282713948072,0.06451929395443926,8093.552622502553
13,120,50,100,0.674326353,0.9071047306060792,342.8828125,43.0,477.7674418604651,"(5136,)",50x100,5000,120x50x100,600000,5136,7616.490112169768,0.06676067221573209,5661.970251845559
66,2160,50,100,0.5016909929999969,0.6137130260467529,379.12109375,3.0,6848.0,"(5136,)",50x100,5000,2160x50x100,10800000,5136,10237.377333182523,0.07381641233450156,8368.73226088041
8,720,100,50,0.4495735289999999,0.6084303855895996,424.765625,8.0,2568.0,"(5136,)",100x50,5000,720x100x50,3600000,5136,11424.160162241227,0.08270358742211838,8441.393003446003
53,12,100,50,2.6332882479999995,2.746037721633911,269.140625,428.0,48.0,"(5136,)",100x50,5000,12x100x50,60000,5136,1950.4131398835002,0.05240276966510903,1870.3311901134573
42,24,100,100,2.0120154500000016,1.5934190750122068,375.63671875,214.0,96.0,"(5136,)",100x100,10000,24x100x100,240000,5136,2552.6642948989265,0.07313799041082554,3223.257509930747
25,720,100,100,0.8688350389999999,0.9491605758666992,717.12890625,8.0,2568.0,"(5136,)",100x100,10000,720x100x100,7200000,5136,5911.363802628592,0.13962790230724298,5411.0970583773
17,1440,100,100,0.752720389,0.6848435401916504,431.46875,4.0,5136.0,"(5136,)",100x100,10000,1440x100x100,14400000,5136,6823.2508047553365,0.08400871300623053,7499.523173661992
27,120,100,100,0.9892312360000002,0.6765687465667725,561.91796875,43.0,477.7674418604651,"(5136,)",100x100,10000,120x100x100,1200000,5136,5191.910458436028,0.10940770419587227,7591.246308763855
39,12,100,100,3.4152398340000003,2.9202232360839844,332.48828125,428.0,48.0,"(5136,)",100x100,10000,12x100x100,120000,5136,1503.8475333032789,0.06473681488512462,1758.7696503940465
35,48,100,100,1.4286342629999993,1.3895413875579834,477.03125,107.0,192.0,"(5136,)",100x100,10000,48x100x100,480000,5136,3595.0418753186536,0.09287991627725857,3696.1835365164197
62,6,100,100,5.427714530000002,5.7227957248687735,284.91796875,856.0,24.0,"(5136,)",100x100,10000,6x100x100,60000,5136,946.2546292020995,0.05547468238901869,897.4634508936226
51,5136,100,100,0.8046893520000005,2.1074695587158203,715.33984375,1.0,20544.0,"(5136,)",100x100,10000,5136x100x100,51360000,5136,6382.587252130058,0.13927956459306853,2437.045877488074
63,2160,100,100,0.9280216009999976,1.228764533996582,500.8984375,3.0,6848.0,"(5136,)",100x100,10000,2160x100x100,21600000,5136,5534.35393579811,0.09752695434190031,4179.808138907667
