,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
58,120,10,10,36.17523347000002,42.751040697097785,1568.375,43.0,477.7674418604651,"(5136,)",10x10,100,120x10x10,12000,5136,141.9755868129853,0.3053689641744548,120.13742627670499
68,48,10,10,83.23759584800001,107.65971994400024,1267.46484375,107.0,192.0,"(5136,)",10x10,100,48x10x10,4800,5136,61.702887351273795,0.24678053811331777,47.705864390800166
45,720,10,10,8.886755672999984,9.312012672424316,2838.390625,8.0,2568.0,"(5136,)",10x10,100,720x10x10,72000,5136,577.9386976514223,0.5526461497274143,551.5456411704903
21,2160,10,10,5.6028538639999965,6.550625562667848,1917.890625,3.0,6848.0,"(5136,)",10x10,100,2160x10x10,216000,5136,916.6757021810489,0.3734210718457944,784.0472563826837
70,5136,10,10,2.260596812000017,1.3796327114105225,1447.5390625,1.0,20544.0,"(5136,)",10x10,100,5136x10x10,513600,5136,2271.9663996411764,0.28184171777647976,3722.729939295949
14,1440,10,10,7.879014987000001,8.508843421936035,414.7734375,4.0,5136.0,"(5136,)",10x10,100,1440x10x10,144000,5136,651.8581330882294,0.08075806804906542,603.6072995254854
75,5136,50,10,2.188551275000009,1.2131397724151611,1299.12109375,1.0,20544.0,"(5136,)",50x10,500,5136x50x10,2568000,5136,2346.757902667818,0.2529441381911994,4233.642418445379
80,6,10,50,250.242996154,242.07496094703683,947.84375,856.0,24.0,"(5136,)",10x50,500,6x10x50,3000,5136,20.52405093823004,0.1845490167445483,21.21656853689918
9,720,10,50,6.884525554,7.003341436386108,511.86328125,8.0,2568.0,"(5136,)",10x50,500,720x10x50,360000,5136,746.0209072818267,0.09966185382593458,733.3642157321832
76,6,50,10,219.900277273,215.06581664085388,849.65234375,856.0,24.0,"(5136,)",50x10,500,6x50x10,3000,5136,23.356041491588485,0.1654307522877726,23.88106152907038
13,1440,10,50,4.27400553,4.081779718399049,935.1953125,4.0,5136.0,"(5136,)",10x50,500,1440x10x50,720000,5136,1201.6830497643273,0.18208631473909656,1258.274663095841
1,2160,50,10,3.849286269,3.5974528789520264,736.5703125,3.0,6848.0,"(5136,)",50x10,500,2160x50x10,1080000,5136,1334.2733278536525,0.14341322283878505,1427.6767960046686
69,12,50,10,83.41686401599999,103.96683502197266,1660.12890625,428.0,48.0,"(5136,)",50x10,500,12x50x10,6000,5136,61.570283905840384,0.32323382131035827,49.40036886680779
74,12,10,50,94.33983998600004,123.58780431747437,624.16796875,428.0,48.0,"(5136,)",10x50,500,12x10x50,6000,5136,54.44147457492167,0.12152803129867601,41.55749856034791
7,720,50,10,5.366726696000001,5.2116804122924805,535.37890625,8.0,2568.0,"(5136,)",50x10,500,720x50x10,360000,5136,957.0079288419944,0.10424044124805296,985.4786928005068
67,5136,10,50,2.319271698999956,1.0928456783294678,1236.77734375,1.0,20544.0,"(5136,)",10x50,500,5136x10x50,2568000,5136,2214.488281909612,0.24080555758372274,4699.657144502716
22,1440,50,10,4.007836398000002,2.7713873386383057,629.9609375,4.0,5136.0,"(5136,)",50x10,500,1440x50x10,720000,5136,1281.4894346892443,0.12265594577492211,1853.2234481967157
50,24,50,10,59.460071584000005,56.73589730262756,396.1953125,214.0,96.0,"(5136,)",50x10,500,24x50x10,12000,5136,86.37729257934556,0.07714083187305296,90.52469854499226
42,48,10,50,38.410541357,36.18192315101624,341.66796875,107.0,192.0,"(5136,)",10x50,500,48x10x50,24000,5136,133.71329376132334,0.06652413721767912,141.94933692615908
86,2160,10,50,2.8022602980004194,1.7712581157684326,932.30078125,3.0,6848.0,"(5136,)",10x50,500,2160x10x50,1080000,5136,1832.8061828035188,0.18152273778232086,2899.633855888828
35,48,50,10,32.368190462,29.24204516410828,330.296875,107.0,192.0,"(5136,)",50x10,500,48x50x10,24000,5136,158.6743011176242,0.06431013921339564,175.63751000234186
28,120,10,50,17.831179593999995,19.256881713867188,337.51171875,43.0,477.7674418604651,"(5136,)",10x50,500,120x10x50,60000,5136,288.0347860849436,0.06571489851051401,266.7098482669437
26,120,50,10,16.041580855,16.540675401687622,334.78125,43.0,477.7674418604651,"(5136,)",50x10,500,120x50x10,60000,5136,320.1679464402139,0.06518326518691589,310.50727224088934
55,24,10,50,72.866926197,68.76018810272217,411.359375,214.0,96.0,"(5136,)",10x50,500,24x10x50,12000,5136,70.48465288784823,0.08009333625389409,74.69438554076133
46,48,100,10,19.031908458000004,16.799227952957153,320.796875,107.0,192.0,"(5136,)",100x10,1000,48x100x10,48000,5136,269.86258426653467,0.06246045073987539,305.7283355153184
77,6,10,100,134.226455758,164.3785500526428,710.88671875,856.0,24.0,"(5136,)",10x100,1000,6x10x100,6000,5136,38.263693777773696,0.1384125231211059,31.244952570485495
61,24,100,10,27.92346791,26.040008306503296,352.5078125,214.0,96.0,"(5136,)",100x10,1000,24x100x10,24000,5136,183.93130883863773,0.06863469869548286,197.23496012546673
6,1440,10,100,5.402290787,5.0511884689331055,851.453125,4.0,5136.0,"(5136,)",10x100,1000,1440x10x100,1440000,5136,950.7078020233937,0.16578137169003115,1016.7904111257222
11,2160,100,10,3.6632517279999983,2.86411190032959,1154.484375,3.0,6848.0,"(5136,)",100x10,1000,2160x100x10,2160000,5136,1402.033051876582,0.22478278329439252,1793.2260256343234
63,12,10,100,95.746119514,93.84480285644533,438.87109375,428.0,48.0,"(5136,)",10x100,1000,12x10x100,12000,5136,53.64186064218523,0.0854499793126947,54.72865671481621
64,5136,10,100,3.0908768660000305,1.4535949230194092,1647.1640625,1.0,20544.0,"(5136,)",10x100,1000,5136x10x100,5136000,5136,1661.6643828476438,0.32070951372663553,3533.308983586359
18,720,100,10,4.512834300999998,3.9039907455444336,692.7578125,8.0,2568.0,"(5136,)",100x10,1000,720x100x10,720000,5136,1138.0874318522874,0.13488275165498442,1315.5768890747602
31,120,10,100,12.770712950000004,11.386794328689575,616.89453125,43.0,477.7674418604651,"(5136,)",10x100,1000,120x10x100,120000,5136,402.170185807833,0.12011186356113707,451.04880721869205
56,12,100,10,71.531231158,73.86557292938231,412.46875,428.0,48.0,"(5136,)",100x10,1000,12x100x10,12000,5136,71.8008052825971,0.08030933605919004,69.53171547061808
54,5136,100,10,3.1893618920000217,2.14814567565918,1778.765625,1.0,20544.0,"(5136,)",100x10,1000,5136x100x10,5136000,5136,1610.353473176811,0.34633287091121495,2390.8993036163465
2,1440,100,10,4.352286162,4.46515154838562,860.3046875,4.0,5136.0,"(5136,)",100x10,1000,1440x100x10,1440000,5136,1180.0694643754446,0.16750480675623053,1150.240914411276
38,48,10,100,24.898454034000007,24.168684005737305,506.1484375,107.0,192.0,"(5136,)",10x100,1000,48x10x100,48000,5136,206.27786741243256,0.09854915060358256,212.50639872575545
82,2160,10,100,2.8760673829999632,1.5095272064208984,989.7578125,3.0,6848.0,"(5136,)",10x100,1000,2160x10x100,2160000,5136,1785.7717904518463,0.19270985445872274,3402.3898199075848
51,24,10,100,51.70029861599998,47.59107255935669,538.96484375,214.0,96.0,"(5136,)",10x100,1000,24x10x100,24000,5136,99.34178597588475,0.10493863780179127,107.91940008484283
83,6,100,10,83.46138633300006,120.3926486968994,596.4140625,856.0,24.0,"(5136,)",100x10,1000,6x100x10,6000,5136,61.537439355584496,0.11612423335280374,42.66041204002743
17,720,10,100,5.321839959000002,5.652704000473023,1594.38671875,8.0,2568.0,"(5136,)",10x100,1000,720x10x100,720000,5136,965.0797542895442,0.3104335511584891,908.5917110767192
33,120,100,10,9.584511715000003,9.000337600708008,361.12109375,43.0,477.7674418604651,"(5136,)",100x10,1000,120x100x10,120000,5136,535.8645440395289,0.0703117394373053,570.6452610839818
43,12,50,50,41.096422321,38.449170112609856,344.35546875,428.0,48.0,"(5136,)",50x50,2500,12x50x50,30000,5136,124.97438243853013,0.06704740435163552,133.57895592954785
62,24,50,50,15.471645389999994,16.81360411643982,359.6015625,214.0,96.0,"(5136,)",50x50,2500,24x50x50,60000,5136,331.962106843505,0.07001588054906542,305.46692811555965
32,120,50,50,5.901716739999998,5.005224704742432,469.58984375,43.0,477.7674418604651,"(5136,)",50x50,2500,120x50x50,300000,5136,870.2552538975298,0.09143104434384736,1026.12775708824
0,1440,50,50,4.345761208,3.5363593101501465,1377.84375,4.0,5136.0,"(5136,)",50x50,2500,1440x50x50,3600000,5136,1181.8412826147166,0.2682717581775701,1452.3411083422786
48,48,50,50,10.766924570000016,11.18354320526123,373.52734375,107.0,192.0,"(5136,)",50x50,2500,48x50x50,120000,5136,477.01643738737476,0.07272728655568536,459.24622507684325
73,2160,50,50,2.986837046000119,1.3149876594543457,2052.3828125,3.0,6848.0,"(5136,)",50x50,2500,2160x50x50,5400000,5136,1719.5447628714712,0.3996072454244548,3905.740075257576
52,5136,50,50,4.361920518999966,8.830703020095823,1453.16015625,1.0,20544.0,"(5136,)",50x50,2500,5136x50x50,12840000,5136,1177.4629954003617,0.2829361674941589,581.6071481865176
